Tamanho,Tempo quadrático,Número de comparações quadrático,Quadratico (Tempo/Mil Comparações),Tempo Union Find,Número de comparações Union Find,Union Find (Tempo/Mil Comparações)
10,0.0058999633789062,125,0.04719970703125,0.0034710693359375,72,0.0482092963324652
25,0.02755126953125,720,0.0382656521267361,0.0090673828125,172,0.0527173419331395
50,0.1006307983398437,2992,0.0336332882151884,0.019708251953125,391,0.0504047364530051
75,0.212576904296875,9828,0.0216297216419286,0.0301870727539062,938,0.0321823803346548
100,0.4433319091796875,18882,0.0234790757959796,0.0469033813476562,1376,0.0340867597003315
150,0.7670169067382813,40058,0.0191476585635398,0.0539248657226562,1861,0.0289762846440925
200,1.0913162231445312,62549,0.0174473808237466,0.0630276489257812,2425,0.0259907830621778
250,2.05794189453125,120289,0.0171083132666432,0.0943521118164062,3724,0.0253362276628373
300,2.305059814453125,140069,0.0164566022064348,0.0937091064453125,3649,0.0256807636188853
400,4.149888000488281,261465,0.0158716768993489,0.1428826904296875,5348,0.0267170326158727
500,8.532555847167968,555907,0.0153488908165717,0.2203256225585937,8794,0.0250540848940861
650,14.225906372070312,933380,0.01524128047748,0.2827420043945312,11206,0.0252313050503775
800,21.816839599609374,1465805,0.014883862177854,0.4171701049804687,15511,0.0268951134666023
1000,47.01845581054688,3156735,0.0148946477327196,0.7002020263671875,26787,0.0261396209492361
1500,75.44804016113281,4993376,0.015109625263776013,0.8151763916015625,28105,0.029004675025851717
